,sentimen,tweet,tweet_length,clean_tweet,polarity_score,polarity,clean_tweet_sentence
217,netral,Presiden Jokowi - Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://jatim.sindonews.com/read/9583/1/presiden-jokowi-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi-1555254249?utm_source=dlvr.it&utm_medium=referralÂ â€¦,12,"['presiden', 'jokowi', 'raja', 'salman', 'sepakat', 'tingkat', 'kerja', 'ekonomi', '']",17,positif,presiden jokowi raja salman sepakat tingkat kerja ekonomi 
218,negatif,"Media asing yg mana?! Ayo tunjukkan, yg mana?! Jgn cuma berangan-angan lantas menabur Fitnah?!  Aku udah jijik dgn kebohongan dan kesombongan kau @Fahrihamzah !!!  Dibanding @jokowi kau tidak ada apa-apanya!!  Sama-sama makan Gaji dari pembayar pajak, tapi Kau Banyak Tidurnya!!",43,"['media', 'asing', 'ayo', 'tunjuk', 'beranganangan', 'lantas', 'tabur', 'fitnah', 'jijik', 'bohong', 'sombong', 'fahrihamzah', 'banding', 'jokowi', 'tidak', 'apapanya', 'samasama', 'makan', 'gaji', 'bayar', 'pajak', 'tidur']",-51,negatif,media asing ayo tunjuk beranganangan lantas tabur fitnah jijik bohong sombong fahrihamzah banding jokowi tidak apapanya samasama makan gaji bayar pajak tidur
219,netral,"Jgn "" anda dpt harga 16rb karena itu toko abang andaðŸ˜‚ðŸ˜‚ðŸ˜‚",11,"['harga', 'ribu', 'toko', 'abang', 'sedih', 'sedih', 'sedih']",-24,negatif,harga ribu toko abang sedih sedih sedih
220,negatif,Kualitas obama sama wowo ya kayak langit sama.comberan lah...obama ngga pernah bermasalah dalam karier lah kalo wowo di pecat trus gaji karyawan ngga dibayar..wowo sama lurah ada belum tentu lebih pinter..Jokowi udah jd pejabat berpengalaman makanya bisa jd Presiden...bangun pret,40,"['kualitas', 'obama', 'wowo', 'iya', 'mirip', 'langit', 'comberan', 'obama', 'tidak', 'masalah', 'karier', 'wowo', 'pecat', 'gaji', 'karyawan', 'tidak', 'bayar', 'wowo', 'lurah', 'pintar', 'jokowi', 'jabat', 'alam', 'presiden', 'bangun', 'pret']",-33,negatif,kualitas obama wowo iya mirip langit comberan obama tidak masalah karier wowo pecat gaji karyawan tidak bayar wowo lurah pintar jokowi jabat alam presiden bangun pret
221,netral,"Harga 18rb ,,untuk konsumen atau pemakai pribadi....  Kalau untuk pedagang ,jatuhnya 16rb/tabung",13,"['harga', 'ribu', 'konsumen', 'pakai', 'pribadi', 'dagang', 'jatuh', 'rbtabung']",1,positif,harga ribu konsumen pakai pribadi dagang jatuh rbtabung
222,netral,#UASdifitnahKejiDanBrutal tapi @prabowo @sandiuno siap sodaqohkan gaji nyaðŸ˜­ https://twitter.com/BangSjahrir/status/1117430313909493760Â â€¦,9,"['prabowo', 'sandiuno', 'sodaqohkan', 'gaji', 'nya', 'sedih', '']",-10,negatif,prabowo sandiuno sodaqohkan gaji nya sedih 
223,netral,"#JokowiJelasIslamnya #PilihOrangBaik #CoblosYangBajuPutih #BantenJokowiAmin #Banten01 Pengalaman @KHMarufAmin_ dalam ekonomi sudah malang merintang. Yakni dengan mendirikan koperasi, Baitul Mal wa Tamwil (BMT) sejenis koperasi syariah. @jokowi  pic.twitter.com/0hQUSxmAdI",27,"['alam', 'khmarufamin', 'ekonomi', 'malang', 'rintang', 'diri', 'koperasi', 'baitul', 'mal', 'tamwil', 'bmt', 'jenis', 'koperasi', 'syariah', 'jokowi']",-12,negatif,alam khmarufamin ekonomi malang rintang diri koperasi baitul mal tamwil bmt jenis koperasi syariah jokowi
224,netral,"Charles Honoris, Jokowi Bangun Indonesia lewat Ekonomi Kreatif:  http://bit.ly/1skexYbÂ ",10,"['charles', 'honor', 'jokowi', 'bangun', 'indonesia', 'ekonomi', 'kreatif']",8,positif,charles honor jokowi bangun indonesia ekonomi kreatif
225,netral,"Presiden @jokowi dan Raja Salman menggelar pertemuan bilateral di Istana Pribadi Raja (Al-Qasr Al-Khas), Minggu (14/4) sore. Dalam pertemuan yang berlangsung selepas jamuan santap siang itu, keduanya sepakat akan meningkatkan kerja sama di bidang ekonomi. (Foto dan berita: BPMI)  pic.twitter.com/68JRXIbsbz",41,"['presiden', 'jokowi', 'raja', 'salman', 'kelar', 'temu', 'bilateral', 'istana', 'pribadi', 'raja', 'alqasr', 'alkhas', 'mingu', 'sore', 'temu', 'lepas', 'jamu', 'santap', 'siang', 'sepakat', 'tingkat', 'kerja', 'bidang', 'ekonomi', 'foto', 'berita', 'bpmi']",27,positif,presiden jokowi raja salman kelar temu bilateral istana pribadi raja alqasr alkhas mingu sore temu lepas jamu santap siang sepakat tingkat kerja bidang ekonomi foto berita bpmi
226,netral,tp kenapa  fokus akan hal begitu  unicorn lah dll tidak selama nya dunia digital baik  contoh ecomerce  memamg harga lebih murah tapi memutus mata rantai distribusi sehinga distributor bisa menjual langsung barg sehingga masarakat tdk dpt kebagaian keutungan sbgai pengecer   :/,47,"['tidak', 'bagai', 'keutungan', 'ecer']",-9,negatif,tidak bagai keutungan ecer
227,netral,Prabowo-Sandi Kembali Tegaskan Tidak Akan Ambil Gaji Bila Terpilih  https://politik.rmol.co/read/2019/04/13/385982/Prabowo-Sandi-Kembali-Tegaskan-Tidak-Akan-Ambil-Gaji-Bila-Terpilih-Â â€¦,11,"['ambil', 'gaji', 'pilih', '']",-14,negatif,ambil gaji pilih 
228,netral,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gajiÂ â€¦",9,"['ambil', 'gaji', '']",-10,negatif,ambil gaji 
229,positif,"Kalo mau Listrik Turun, Kalo mau harga terjangkau, Kalo mau pelayanan BPJS baik, Kalo mau Honorer lebih baik  Dll maka #17April2019 Tusuk Prabowo Sandi (TPS).  #ClosingStatement #Debat5Pilpres2019",29,"['listrik', 'turun', 'harga', 'jangkau', 'layan', 'bpjs', 'honorer', 'dan lain', 'tusuk', 'prabowo', 'sandi', 'tps']",-9,negatif,listrik turun harga jangkau layan bpjs honorer dan lain tusuk prabowo sandi tps
230,netral,Penutup debat pamungkas ala prabowo-sandi. Jika diberi mandat nanti seperserpun gaji tidak akan mereka ambil ðŸ˜­  https://www.facebook.com/roy11.97/videos/993285917541989/Â â€¦,18,"['ambil', 'sedih', '']",-20,negatif,ambil sedih 
231,negatif,Utang prabowo bwjibun  ..bukan utng ln lho utang pribadinya puluhan triltun jd gaji ngk diambil....busyeettt  jngn2 utang bebas ngk dibayar jemarin2 sdh minta dipailitkan biar ngk bayar  tp pemerintah ngk mau  mk bwrambiai mengumbar janji  https://twitter.com/detikcom/status/1117096276737306625Â â€¦,41,"['utang', 'prabowo', 'bwjibun', 'utng', 'ln', 'lho', 'utang', 'pribadi', 'puluh', 'triltun', 'gaji', 'tidak', 'ambil', 'busyet', 'utang', 'bebas', 'tidak', 'bayar', 'jemarin', 'pailit', 'biar', 'tidak', 'bayar', 'perintah', 'tidak', 'maka', 'bwrambiai', 'umbar', 'janji', '']",-93,negatif,utang prabowo bwjibun utng ln lho utang pribadi puluh triltun gaji tidak ambil busyet utang bebas tidak bayar jemarin pailit biar tidak bayar perintah tidak maka bwrambiai umbar janji 
232,negatif,"Jangan berharap banyak terhadap prabowo untuk saling memahami ataupun menghargai sesama koalisi, bahkan surat kesepakatan untuk menjadikan AHY sebagai cawapres diingkari, apalagi terhadap rakyat, tidak ada kawan dalam politik, yang ada kepentingan sesaat, #selamatkanNKRI",34,"['harap', 'prabowo', 'paham', 'harga', 'koalisi', 'surat', 'sepakat', 'jadi', 'ahy', 'cawapres', 'dingkari', 'rakyat', 'tidak', 'kawan', 'politik', 'penting', 'sesat']",-8,negatif,harap prabowo paham harga koalisi surat sepakat jadi ahy cawapres dingkari rakyat tidak kawan politik penting sesat
233,negatif,Pakai uang pajak atw uang pribadi pak.? Kok anak bini diajak segala.?,12,"['pakai', 'uang', 'pajak', 'atau', 'uang', 'pribadi', 'anak', 'bini', 'ajak']",-10,negatif,pakai uang pajak atau uang pribadi anak bini ajak
234,netral,"Mas di samping toko saya pangkalan gas punya agen untuk satu kmpung dan kuota di batasin,harga udah tertera di nomor registrasi pangkalanya @18rb /tbg jadi agen itu gk bÃ¬sa mainkn harga lagi apalagi jÃ¼al ke penjual lg krn kuota trbatasðŸ˜‚,",40,"['b sa', 'mainkn', 'harga', 'j al', 'jual', 'kuota', 'trbatas', 'sedih']",-6,negatif,b sa mainkn harga j al jual kuota trbatas sedih
235,positif,"Yang janjinya mau ngehapusin pajak,  malah bikin hutang negara nambah lho mbak,  adanya pajak itu buat negara lho :)",21,"['janji', 'ngehapusin', 'pajak', 'bikin', 'hutang', 'negara', 'tambah', 'lho', 'mbak', 'pajak', 'negara', 'lho']",-16,negatif,janji ngehapusin pajak bikin hutang negara tambah lho mbak pajak negara lho
236,netral,Jokowi dan Raja Salman Sepakati Kerja Sama di Bidang Ekonomi  https://www.gardaindonews.com/jokowi-dan-raja-salman-sepakati-kerja-sama-di-bidang-ekonomi/Â â€¦,12,"['jokowi', 'raja', 'salman', 'sepakat', 'kerja', 'bidang', 'ekonomi', '']",12,positif,jokowi raja salman sepakat kerja bidang ekonomi 
237,positif,"ijin menyampaikan bang, aspirasi teman saya, di desanya penghasilan utama berasal dari lada / merica, semenjak rezim ini berkuasa, harga lada jadi murah, mereka berharap ketika Prabowo sandi berkuasa, bisa mengstabilkan harga.",32,"['ijin', 'bang', 'aspirasi', 'teman', 'desa', 'hasil', 'utama', 'asal', 'lada', 'merica', 'semenjak', 'rezim', 'kuasa', 'harga', 'lada', 'murah', 'harap', 'prabowo', 'sandi', 'kuasa', 'mengstabilkan', 'harga']",26,positif,ijin bang aspirasi teman desa hasil utama asal lada merica semenjak rezim kuasa harga lada murah harap prabowo sandi kuasa mengstabilkan harga
238,negatif,"Masalahnya Pak @Jokowi janji bahwa ekonomi meroket, eh malah nyungsep. Itu MASALAH-nya. Link dibawah untuk ingatkan Pak @Jokowi atas janji Bpk. Apa Pak @Jokowi mau akui gagal penuhi janji?  Cc: @politik_twit @Fahrihamzah @fadlizon https://money.kompas.com/read/2015/08/05/192311826/Jokowi.Mulai.September.Pertumbuhan.Ekonomi.Indonesia.Akan.MeroketÂ â€¦",35,"['jokowi', 'janji', 'ekonomi', 'roket', 'eh', 'nyungsep', 'link', 'bawah', 'ingat', 'jokowi', 'janji', 'jokowi', 'aku', 'gagal', 'penuh', 'janji', 'c', 'politiktwit', 'fahrihamzah', 'fadlizon', '']",-12,negatif,jokowi janji ekonomi roket eh nyungsep link bawah ingat jokowi janji jokowi aku gagal penuh janji c politiktwit fahrihamzah fadlizon 
239,negatif,Ini maksudnya apa ya pak??? Emangnya ngitung pertumbuhan ekonomi gmn menurut Anda pak @jokowi ?,15,"['maksud', 'iya', 'memang', 'ngitung', 'tumbuh', 'ekonomi', 'bagaimana', 'jokowi']",1,positif,maksud iya memang ngitung tumbuh ekonomi bagaimana jokowi
240,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.   HYPERLINK "" https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦""  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",27,"['capai', 'hasil', 'capai', 'tumbuh', 'ekonomi', 'era', 'perintah', 'jokowi', 'jika', 'tingkat', 'hyperlink', '', '']",-4,negatif,capai hasil capai tumbuh ekonomi era perintah jokowi jika tingkat hyperlink  
241,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kekompakan bermula dari persatuan, rasa saling menghargai, menghormati dan melengkapi. Dengan begitu pasti bangsa ini dapat berpikir maju kedepan. @jokowi @KHMarufAmin_",25,"['kompak', 'satu', 'harga', 'hormat', 'lengkap', 'bangsa', 'pikir', 'maju', 'depan', 'jokowi', 'khmarufamin']",0,netral,kompak satu harga hormat lengkap bangsa pikir maju depan jokowi khmarufamin
242,negatif,@detikcom @jokowi Lahh dr games bisa beli mobil mewah. Beli rumah. Punya pendapatan. Dapet penghargaan. Kasih makan orng di rumah. Lw bilang gak berbobot? Lw balik aja k hidup jaman soeharto. Orbaaaa. Hiduppp cendana! #2019DKIJOIN,35,"['detikcom', 'jokowi', 'games', 'beli', 'mobil', 'mewah', 'beli', 'rumah', 'dapat', 'penghargan', 'kasih', 'makan', 'orang', 'rumah', 'bilang', 'tidak', 'bobot', 'hidup', 'jaman', 'soeharto', 'orba', 'hidup', 'cendana']",-14,negatif,detikcom jokowi games beli mobil mewah beli rumah dapat penghargan kasih makan orang rumah bilang tidak bobot hidup jaman soeharto orba hidup cendana
243,netral,"Tnya sj pd diri anda jg apa msh sehat jg g anda? Semua harga ga cuma gas lpg aja yg sudah ada H.E.T Kalau anda mau harga 15-16rb.beli di pangkalan atau agen atau di SPBU yg menyediakan LPG Bnyk yg antri mlh. Desa baik"" aja mas,makane kl anda pgn duitnya bnyk,kerja keras masðŸ˜‚",53,"['tidak', 'gas', 'lpg', 'h', 'e', 't', 'harga', 'ribu', 'beli', 'pangkal', 'agen', 'spbu', 'sedia', 'lpg', 'antri', 'desa', 'masmakane', 'duit', 'bnykerja', 'keras', 'mas', 'sedih']",-23,negatif,tidak gas lpg h e t harga ribu beli pangkal agen spbu sedia lpg antri desa masmakane duit bnykerja keras mas sedih
244,netral,"Tax Ratio 10, xx % dan ada tax amnesty saja para pengusaha dan pelaku ekonomi sdh berat dan teriak apalagi 16, xx %. Apa yg sudah dijalankan pemerintah jokowi dibidang pajak sudah efektif sekali terbukti dengan tembus target penerimaan pajak 100% pada thn 2018 #DebatPilpres2019",45,"['tax', 'ratio', 'x', 'tax', 'amnesty', 'usaha', 'laku', 'ekonomi', 'berat', 'teriak', 'x', 'jalan', 'perintah', 'jokowi', 'bidang', 'pajak', 'efektif', 'bukti', 'tembus', 'target', 'rim', 'pajak']",-19,negatif,tax ratio x tax amnesty usaha laku ekonomi berat teriak x jalan perintah jokowi bidang pajak efektif bukti tembus target rim pajak
245,negatif,"Ngapain holdang holding pake Istilah ""world class"" segala tapi duitnya parkir Di luar negeri. Tak Ada pengaruh ekonomi ke ekonomi nasional .",22,"['sedang apa', 'holdang', 'holding', 'pakai', 'istilah', 'world', 'clas', 'duit', 'parkir', 'negeri', 'tidak', 'pengaruh', 'ekonomi', 'ekonomi', 'nasional']",-4,negatif,sedang apa holdang holding pakai istilah world clas duit parkir negeri tidak pengaruh ekonomi ekonomi nasional
246,netral,Ayo @KPU_ID @KPU_RI segera usut kalian di gaji oleh rakyat...,10,"['ayo', 'kpuid', 'kpuri', 'usut', 'gaji', 'rakyat']",8,positif,ayo kpuid kpuri usut gaji rakyat
247,netral,"BENARKAH KONDISI BUMN KITA GOYAH?  Prabowo Subianto mengatakan, Badan Usaha Milik Negara (BUMN) yang menjadi benteng terakhir perekonomian nasional saat ini malah goyah. Benarkah?  Dikutip...  https://www.merdeka.com/uang/disebut-goyah-bumn-cetak-laba-rp-188-triliun-di-2018.htmlÂ â€¦",29,"['kondisi', 'bumn', 'goyah', 'prabowo', 'subianto', 'badan', 'usaha', 'milik', 'negara', 'bumn', 'benteng', 'ekonomi', 'nasional', 'sat', 'goyah', 'kutip', '']",-27,negatif,kondisi bumn goyah prabowo subianto badan usaha milik negara bumn benteng ekonomi nasional sat goyah kutip 
248,negatif,"Dipikirnya pengembangan esport itu main doang? Aplikasi yg ada di smartphone itu byk yg mulainya dr ""main doang"" terus jd aplikasi2 yg byk manfaatnya. Kata siapa pengangguran digaji? Byk baca, buka wawasan. Jgn mpermalukan gen Z.",36,"['pikir', 'kembang', 'esport', 'main', 'saja', 'aplikasi', 'smartphone', 'mulai', 'main', 'saja', 'aplikasi', 'manfatnya', 'penganguran', 'gaji', 'baca', 'buka', 'wawas', 'mpermalukan', 'gen']",-27,negatif,pikir kembang esport main saja aplikasi smartphone mulai main saja aplikasi manfatnya penganguran gaji baca buka wawas mpermalukan gen
249,positif,"Anda sehat?pangkalan itu harga udah di tentukan mas,anda fkir saya bodoh,justru semenjak jokowi subsidi gas di kurangi di alih kan ke dana pkh tadi,jadi cuma Ä‘i bolak balik aja,gk perlu org pinter klw cuma mbolak balik subsidiðŸ˜‚",37,"['sehatpangkalan', 'harga', 'tentu', 'masanda', 'fkir', 'bodohjustru', 'semenjak', 'jokowi', 'subsidi', 'gas', 'kurang', 'alih', 'dana', 'pkh', 'tadijadi', '', '', 'i', 'bolak', 'ajagk', 'orang', 'pintar', 'mbolak', 'subsidi', 'sedih']",-10,negatif,sehatpangkalan harga tentu masanda fkir bodohjustru semenjak jokowi subsidi gas kurang alih dana pkh tadijadi   i bolak ajagk orang pintar mbolak subsidi sedih
250,positif,Apapun yang terjadi @ygofficialblink Harga mati!! Apapun yang terjadi Jokowi&Amin untuk NKRI. @kpopzoneID,13,"['apa', 'ygoficialblink', 'harga', 'mati', 'apa', 'jokowiamin', 'nkri', 'kpopzoneid']",-12,negatif,apa ygoficialblink harga mati apa jokowiamin nkri kpopzoneid
251,netral,"pak prabowo dan pak sandi pak jokowi itu sudah melakukan semenjak menjadi walikota gaji beliau di kasihkan ke warga solo yang membutuhkan,  ðŸ˜Š",24,"['prabowo', 'sandi', 'jokowi', 'semenjak', 'walikota', 'gaji', 'beliau', 'kasih', 'warga', 'solo', 'butuh', 'senyum']",-6,negatif,prabowo sandi jokowi semenjak walikota gaji beliau kasih warga solo butuh senyum
252,positif,"Prabowo-Sandi memang pasangan yang harmonis, tahu diri dan mengerti posisinya masing-masing ðŸ‘. Bukan pencintraan, bukan kepura-puraan, mereka saling menghargai satu sama lain ðŸ˜˜. Beda dengan pasangan Goal Getter dan Boneka.  #UASdifitnahKejiDanBrutal https://twitter.com/AkunTofa/status/1117297319966199808Â â€¦",33,"['prabowosandi', 'pasang', 'harmonis', 'erti', 'posisi', 'masingmasing', 'jempol', 'pencintran', 'kepurapuran', 'harga', 'cium', 'beda', 'pasang', 'goal', 'geter', 'boneka', '']",22,positif,prabowosandi pasang harmonis erti posisi masingmasing jempol pencintran kepurapuran harga cium beda pasang goal geter boneka 
253,negatif,LOE katrok loe....tekhnologi digital sekarang mampu meraih pendapatan ekonomi yang harus diperhatikan..prabowo saja yg orang kuno....taunya elus elus ekor kuda,20,"['kampung', 'tekhnologi', 'digital', 'raih', 'dapat', 'ekonomi', 'perhati', 'prabowo', 'orang', 'kuno', 'tahu', 'elus', 'elus', 'ekor', 'kuda']",-18,negatif,kampung tekhnologi digital raih dapat ekonomi perhati prabowo orang kuno tahu elus elus ekor kuda
254,positif,"Yg biasa ngemplang pajak, korupsi maen proyek, mafia impor keknya udh pd meriang takut Prabowo menang.. #TusukPrabowoSandi #UASdifitnahKejiDanBrutal",18,"['ngemplang', 'pajak', 'korupsi', 'main', 'proyek', 'mafia', 'impor', 'kayak', 'meriang', 'takut', 'prabowo', 'menang']",-53,negatif,ngemplang pajak korupsi main proyek mafia impor kayak meriang takut prabowo menang
255,positif,"Semoga yg Amanah, ikhlas, tegas, ekonomi pro rakyat kecil, peduli petani, nelayan, buruh, pedagang kecil, yg menuju masyarakat yg adil, makmur, sejahtera dan aman. Insyaallah Pak Prabowo Subianto dan Sandi Aga memenangkan pilpres bulan April. Amin x 3 Yra !!!!",40,"['moga', 'amanah', 'ikhlas', 'ekonomi', 'profesional', 'rakyat', 'peduli', 'tani', 'nelayan', 'buruh', 'dagang', 'masyarakat', 'adil', 'makmur', 'sejahtera', 'aman', 'insya', 'prabowo', 'subianto', 'sandi', 'aga', 'menang', 'pilpres', 'april', 'amin', 'kali', 'yra']",19,positif,moga amanah ikhlas ekonomi profesional rakyat peduli tani nelayan buruh dagang masyarakat adil makmur sejahtera aman insya prabowo subianto sandi aga menang pilpres april amin kali yra
256,netral,"16rb kl anda bl di agen langsung,,malah dapet 15rb...  Kl gas 18rb itu dr agen ,ke konsumen .....artinya orang jualan ya pasti cr untung,,itu namane perputaran roda ekonomiðŸ™",29,"['ribu', 'beli', 'agen', 'langsungmalah', 'ribu', 'gas', 'ribu', 'agen', 'konsumen', 'orang', 'jual', 'iya', 'untungitu', 'namane', 'putar', 'roda', 'ekonomi', 'doa']",-36,negatif,ribu beli agen langsungmalah ribu gas ribu agen konsumen orang jual iya untungitu namane putar roda ekonomi doa
257,negatif,"Memilukan, kemiskinanlah yg membuat Hal ini terjadi. Kalau para pendukung jokowi bilang ekonomi meningkat, Hal seperti ini ga Kita temui di tiap acara jokowi",24,"['milu', 'miskin', 'dukung', 'jokowi', 'bilang', 'ekonomi', 'tingkat', 'tidak', 'temu', 'acara', 'jokowi']",-1,negatif,milu miskin dukung jokowi bilang ekonomi tingkat tidak temu acara jokowi
258,positif,"Pak @jokowi kalau bapak jadi boleh tidak saya minta 1 permintaan kecil saja? Tolong hapus kan ""denda"" dari telat bayar (listrik, air, tlp, pajak, bpjs, dll yg kebutuhan inti rakyat), karena denda itu jujur wlwpun kecil nilainya tapi berat untuk kami. #terimakasih",42,"['jokowi', 'permintan', 'tolong', 'hapus', 'denda', 'lambat', 'bayar', 'listrik', 'air', 'telepon', 'pajak', 'bpjs', 'dan lain', 'butuh', 'inti', 'rakyat', 'denda', 'jujur', 'nilai', 'berat']",-4,negatif,jokowi permintan tolong hapus denda lambat bayar listrik air telepon pajak bpjs dan lain butuh inti rakyat denda jujur nilai berat
259,positif,"Memiliki pemikiran yang cemerlang untuk kemajuan ekonomi Indonesia melalui konsep ekonomi keumatan, K.H. Maâ€™ruf Amin sangat cocok mendampingi Jokowi maju di pilpres 2019.   #PilihOrangBaik #PilihjelasIslamnya #PilihBajuPutih",28,"['milik', 'pikir', 'cemerlang', 'maju', 'ekonomi', 'indonesia', 'konsep', 'ekonomi', 'umat', 'h', 'ma ruf', 'amin', 'cocok', 'damping', 'jokowi', 'maju', 'pilpres']",4,positif,milik pikir cemerlang maju ekonomi indonesia konsep ekonomi umat h ma ruf amin cocok damping jokowi maju pilpres
260,positif,Itu cuma utk state bahwa Pakde sudah menaikan gaji dan tunjangan saat Pak Prabowo baru berjanji akan menaikan :),19,"['state', 'pakde', 'naik', 'gaji', 'tunjang', 'sat', 'prabowo', 'janji', 'naik']",10,positif,state pakde naik gaji tunjang sat prabowo janji naik
261,positif,"17 april 2019  Marilah kita subuh berjamaah Kita gaungkan shalawat dan doa2, semoga @prabowo dan @sandiuno terpilih jd Presiden ke 8 RI.  Semoga beliau Amanah bekerja untuk rakyat, mengembalikan kedaulatan Indonesia secara ekonomi  Semoga kita semua adil makmur",41,"['april', 'mari', 'subuh', 'jamah', 'gaung', 'shalawat', 'doa', 'moga', 'prabowo', 'sandiuno', 'pilih', 'presiden', 'ri', 'moga', 'beliau', 'amanah', 'rakyat', 'kembali', 'daulat', 'indonesia', 'ekonomi', 'moga', 'adil', 'makmur']",11,positif,april mari subuh jamah gaung shalawat doa moga prabowo sandiuno pilih presiden ri moga beliau amanah rakyat kembali daulat indonesia ekonomi moga adil makmur
262,positif,PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya krn bosmu udah bilang itu bukan salah Jokowi.  Semakin mantap pilih @jokowi. #PrabowoSalahkanSBY,38,"['pas', 'bilang', 'debat', 'adan', 'ekonomi', 'indonesia', 'sat', 'salah', 'jokowi', 'salah', 'pimpin', 'mar', 'salah', 'jokowi', 'iya', 'bos', 'bilang', 'salah', 'jokowi', 'mantap', 'pilih', 'jokowi']",-8,negatif,pas bilang debat adan ekonomi indonesia sat salah jokowi salah pimpin mar salah jokowi iya bos bilang salah jokowi mantap pilih jokowi
263,negatif,Yuuk ikut amal hadiahnya dengan mencoblos Prabowo-Sandi.  Jadi Presiden-Wapres Tanpa Digaji itu 'Gila' ! ,16,"['yuk', 'amal', 'hadiah', 'coblos', 'prabowosandi', 'presidenwapres', 'gaji', 'gila']",7,positif,yuk amal hadiah coblos prabowosandi presidenwapres gaji gila
264,positif,"Kalau Pak Prabowo dan Bang Sandi tak ambil gaji jika terpilih nanti, dan seluruh gajinya akan diserahkan kepada fakir miskin dan Dhuafa.. maka saya berjanji untuk  terus membersamai orang tua dalam berjuang untuk...  https://www.facebook.com/1314455819/posts/10218671796488784/Â â€¦",36,"['prabowo', 'bang', 'sandi', 'ambil', 'gaji', 'pilih', 'gaji', 'serah', 'fakir', 'miskin', 'dhuafa', 'janji', 'sama', 'orang', 'tua', 'juang', '']",-43,negatif,prabowo bang sandi ambil gaji pilih gaji serah fakir miskin dhuafa janji sama orang tua juang 
265,netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ via @mediaindonesia,13,"['jokowi', 'raja', 'salman', 'sepakat', 'tingkat', 'kerja', 'ekonomi', '', 'via', 'mediaindonesia']",14,positif,jokowi raja salman sepakat tingkat kerja ekonomi  via mediaindonesia
266,positif,Tapi yang pasti aku lebih tertarik sama programnya jokowi terutama yang trans sumatera. Karna aku mau bgt ekonomi sumatera jauh berkembang dr sekarang.,23,"['tarik', 'program', 'jokowi', 'trans', 'sumatera', 'banget', 'ekonomi', 'sumatera', 'kembang']",12,positif,tarik program jokowi trans sumatera banget ekonomi sumatera kembang
267,positif,Rakyat Indonesia bangga mempunyai Bapak Jokowi yang dihargai oleh Raja arab saudi. Terima kasih Bapak....  https://twitter.com/jokowi/status/1117443800907931648Â â€¦,17,"['rakyat', 'indonesia', 'banga', 'jokowi', 'harga', 'raja', 'arab', 'saudi', 'terima', 'kasih', '']",10,positif,rakyat indonesia banga jokowi harga raja arab saudi terima kasih 
268,positif,"Nasionalisme beliau luar biasa didunia internasional, dalam beberapa hari ingin pemilu beliau masih saja berkunjung dan memberikan solusi kerja sama perkembangan ekonomi indonesia yang akan datang, mantab bapak jokowidodo lanjutkan",30,"['nasionalisme', 'beliau', 'dunia', 'internasional', 'milu', 'beliau', 'kunjung', 'solusi', 'kerja', 'kembang', 'ekonomi', 'indonesia', 'mantab', 'jokowidodo', 'lanjut']",2,positif,nasionalisme beliau dunia internasional milu beliau kunjung solusi kerja kembang ekonomi indonesia mantab jokowidodo lanjut
269,netral,7. Jokowi juga mampu mengimbangi serangan Prabosan soal mikro. Dia bahkan sengaja menyeret Prabosan dengan visi makro nya dibidang ekonomi digital dan membahasnya dari sisi mikro. Disini sandi mengalami kesalahan fatal dengan menyebut big data untuk e-KTP.,37,"['jokowi', 'imbang', 'serang', 'prabosan', 'mikro', 'sengaja', 'seret', 'prabosan', 'visi', 'makro', 'nya', 'bidang', 'ekonomi', 'digital', 'bahas', 'sisi', 'mikro', 'sandi', 'alami', 'salah', 'fatal', 'sebut', 'big', 'data', 'ektp']",-50,negatif,jokowi imbang serang prabosan mikro sengaja seret prabosan visi makro nya bidang ekonomi digital bahas sisi mikro sandi alami salah fatal sebut big data ektp
