,sentimen,tweet
500,netral,"Namun, sebagai anak seorang ahli ekonomi, fenomena ransel besar Prabowo juga sesuatu yang wajar bagi Yunus. prabowo sandiuno #PrabowoSandi #IndonesiaMenang #IndonesiaAdilMakmur"
501,positif,"Ini penutup debat kemaren, pak Prabowo dan pak Sandi akan memberi sepenuhnya gaji mereka sbg presiden n wakil presiden untuk membantu rakyat miskin. Tp sebelum debat ini juga, pendukung PADI sih udah pd tau. Ya ga ya ga???  http://dlvr.it/R2lf3yÂ "
502,negatif,Masak kebijakan ekonomi nasional hanya di dasarkan pada keluhan 1 - 2 orang harga mahal..? Mau dibawa kemana ekonomi negara ini..? ðŸ˜
503,positif,Beneran itu paling kocak kemaren..ditambah lagi pas uno diajarin ekonomi makro ama pak Jokowi..anjaaay lulusan summa cum laude diajarin ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜… tamat dah itu pasangan 02 ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…
504,positif,"Jokowi lebih cepat merespon perubahan & tuntutan jaman, merangkul semua kalangan & hasil kerjanya nyata. Sentuhan jokowi mengangkat harga diri bangsa dimata dunia. Memilih jokowi, melawan khilafah & preman brjubah yg menjual agama u/ takut2i rakyat"
505,netral,"Boleh. Ketemuan ya kita? Berapa nomor whatsapp ente? Saya di Pebayuran, Bekasi. Petani di Pebayuran ga ada masalah. Harga fluktuatif, normal. Kisaran 4.200 sampai 4.800 per kilo untuk gabah kering."
506,netral,Ada berapa jumlh buku sale  brap harganya@FaldoMaldini@prabowo tolong
507,negatif,Ternyata omm wowo ga mahir ekonomi Sandi kan pengusaha masa ga tw begituan.. Mw dibawa kemana rakyat nanti hny diteriakin dg ilusi
508,negatif,"Sandi Uno bicara soal ekonomi global yg buat contoh Sample Ibu Murji'ah sama Ibu Paijem dari Tegal hahahhahaha,,,,,"
509,netral,"Dibukuny konsep prabowo : tidak impor dan hutang luar negeri yg jor2an, meningkat rasio pajak,  menutup kran2 kebocoran apbn, industrialisasi, meningkatkn gaji pns dan penegak hukum utk mengurangi korupsi, memperkuat KPK, dsb"
510,negatif,"Sebetulnya Pak Prabowo mau bilang, Lu jadi presiden 4,5 tahun ngapain aje? Gitu lo mbak! Polos banget! Pertmbuhan ekonomi meroket Dari 7% jadi 5%. Hebat ga tuh?"
511,netral,*sementara itu*   Prabowo tadi malam memuji & menyarankan agar Indo meniru Tiongkok dalam perekonomian & pemberantasan kemiskinan.  https://twitter.com/tempodotco/status/1117317831421353984Â â€¦
512,negatif,"Jokowi ikut ikutan saya akan mewakafkan diri saya untuk negara.   Heleh, wakaf tuh gak ambil gaji. Jangan kan gak ambil gaji. Wong kampanye aja masih minta di gaji negara"
513,positif,"Best quote of the day: Dengan Mencoblos Prabowo Sandi, Anda Telah Berinfaq Selama 5 Tahun, Karena Gaji Mereka Disumbangkan Pada Kaum Dhuafa & Anak Yatim #prabowosandimenang #UASdifitnahKejiDanBrutal"
514,negatif,"18M, 1M, 8M, hhhhhh Oke deh gini, prestasi bapak sandi dalam membangkitkan ekonomi secara signifikan apa? Solusi bapak prabowo mengentaskan pendidikan orang orang bodoh seperti apa? Kalau memang pemerintahan sekarang buruk,sistem apa yang harus diubah? Satu aja dan solusi.  https://twitter.com/edwan1479/status/1117396332900052992Â â€¦"
515,netral,"TIDAK impor hal yang MUDAH. Imbasnya harga SEMBAKO naik. Ente bakal kaing2 karena harga mahal. Semakin banyak produksi, harga jual jadi murah, yang rugi petani juga. Bukan jumlahnya yg digenjot, tapi link ke pembeli yg perlu diperbaiki. Maka perlunya melek teknologi."
516,negatif,"Itu sama kayak Tentara dulu mbak. Zaman firaun tentara itu ndak digaji, hanya dikasih kekuasaan utk kelola sesuatu saja. Bahkan kalau perang yang dipakai adalah para budak sebagai pasukan berani mati. PROFESI @prabowo itu, dulu adalah pekerjaannya para BUDAK.  DUNIA BERKEMBANG."
517,negatif,Kalau ngga mampu ya jangan janji mas.....yg ngomong Dan bikin rencana kan anda sendiri....ekonomi tumbuh 7% ....sekarang ko merong merong ngga tercapai....kalah sama Malay Dan thailand
518,positif,"Wajar pak @jokowi mengucapkan "" #TerimaKasihIstriku "" pada ibu Iriana.  Karena..,  Berkat istri yg tidak pungam/sok-sok'an, beliau bisa fokus memperbaiki ekonomi kita yg sudah ""SALAH ARAH"" berpuluh tahun.  {kata @prabowo loh }  Dan berhasil nyataðŸ‘ðŸ»  pic.twitter.com/ADg1EU27jP"
519,positif,"Bnyk beramal,jgn salahkan presiden, otaknya gak jenius.masaknnya bs jdi kurang enak n harga jualnya mahal jadinya sepi pembeli ðŸ™ðŸ™"
520,netral,"kenapa skrg lesu? krn daya beli berkurang... sebabnya biaya hidup mahal... TDL naik, BBM naik Tol mahal pajak mahal berimbas kepada biaya produksi dan transportasi besar... sehingga harga hrs naik... harga naik konsumen turun... pendapatanpun ikut turun..."
521,negatif,Kata siapa mas?  Sesekalia jalan2 ke karawang sini.. Petani disini menjerit semenjak jokowi harga gabah turun drasti karena banyak impor saat panen raya #savepetanikarawang
522,negatif,"Bego lu...itu kan drama hoax kubu mas wowo... Lagian partai demokrat sudah di lecehkan aja msh aja koarÂ²,ga punya harga diri lu...ðŸ˜"
523,negatif,"Tolol.. yng mengembangkan digital jangan yg busung lapar lah.. emang manusia indonesia cuma satu? Pakai pendekatan ekonomi makro, bukan pakai satu dua kasus  Duit kan berputar, dihasilkan di industri A kemudian diputar ke perbaikan busung lapar. Paham gak ente??."
524,netral,AHY Minta Prabowo Hargai Jasa Presiden Sebelumnya 
525,negatif,Memang @sandiuno itu tdk memahami apapun tentang mengelola negara.Termasuk org disekitarnya yg memberi masukan ekonomi kpd cawapres nya
526,negatif,Edunnn.... Sekelas Menterinya pak @jokowi  Sekelas Pejabatnya @cakimiNOW @DPP_PKB  Bisa2nya nyebar hoax. @kemkominfo @rudiantara_id digaji rakyat ngapain aja klo temen sendiri nyebar HOAX dibiarkan????
527,netral,Nyatanya Pemerintah di Era Jokowi Sangat Mendukung Perkembangan Ekonomi DigitalÂ  #bukansalahbapak #JokowiMenangTotalDebat #TerimaKasihIstriku #PrabowoSalahkanSBY pic.twitter.com/uLJ9uFyhFi
528,negatif,Ketika wanita lain cerewat pada suaminya #TerimaKasihIstriku Yang masih belum tau sekarnag dimana kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi
529,positif,"Kalau pak prabowo saya tau dia dari dulu memang tak ambil gaji semasa masih jadi anggota..  Info dari bpk2 purna beda orang beda tempat.. Dgr ttg pak prabowo dari mereka, saya yakin mereka jujur   #TusukPrabowoSandi #TusukPrabowoSandi"
530,negatif,"Ada yg bilang Trans Papua, MRT Karya Jokowi....HEBOH 1 Indonesia memprotes pernyataan itu. Satu orang yg lainnya bilang ""Pembangunan Ekonomi salah Arah, bkn salah Jokowi tp salah Presiden SebelumÂ²nya""... DIAM SATU INDONESIA ... Krik krik krik Ternyata satu org ini sungguh sakti.."
531,negatif,"Overheard   ðŸ‘§ ehmm jokowi bagus sih di segi pembangunan ðŸ™Ž iyaa ekonomi jg makin maju ðŸ‘§ tapi ya gue males sih milih dia. Soalnya pembangunannya ga gua rasain. Dia bikin jalan tol, gua kan kemana2 naik motor  Awas aja lu mudik lewat tol ya bu!"
532,positif,Mau beramal terus setiap bulan selama 5 tahun??   Pilih @prabowo @sandiuno !  Gaji mereka sebagai RI-1 dan 2 selama 5 tahun akan disedekahkan ...  Allah Mahakaya. Para pemilihnya pasti kebagian berkahnya.  Gak mau?
533,negatif,"Bicara soal pajak. Soal ingin menaikkan pajak. Semuanya serba pajak. Pajak sekarang belum bayar, sok sokan mau naikin pajak. Sehat prabowo? #JokowiMenangTotalDebat #JokowiPutihkanGBK #Capres02TukangTeror pic.twitter.com/AYyBEPYarP"
534,positif,dia juga ingin merasakan peluh keringat yg jg dirasakan pendukungnya yg sdh berkumpul sejak pagi..itulah penghargaan tertinggi utk rakyat #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #17AprilCoblosBajuPutih #01IndonesiaMaju
535,negatif,Pak Jokowi terlihat tidak paham soal ekonomi makro dan mikro romlah. ðŸ˜‚ðŸ˜‚ðŸ˜‚
536,netral,Dear bapak @jokowi @prabowo saya butuh Kartu Skincare yang unlimited dan Kartu potongan harga kalo beli gincu.
537,negatif,"Hahaha peluang lapangan kerja? Elo hitung berapa warga negara Indonesia yg main esport, terus berapa yg punya penghasilan dari esport? Nggak ada seujung kuku, jadi sia sia. Prioritaskan lapangan kerja, ekonomi mikro, swasembada pangan. Kita masih negara berkembang, bukan maju."
538,negatif,Lah kalian yg mulai kata nya klo gak milih jokowi gak bleh naik tol pas lebaran.   Kalian lupa lwt tol bayar pembangunan tol dari pajak rakyat.. hasil ngutang jga yg bayar rakyat emang jokowi doang yg bayar mikir.  1 lgi gw cma pengen memperjelas maksud klian bkn menyerang kalian
539,netral,"Jokowi: 5 Tahun ke Depan, Ekonomi Indonesia Makin Kuat  https://m.liputan6.com/bisnis/read/3940876/jokowi-5-tahun-ke-depan-ekonomi-indonesia-makin-kuatÂ â€¦"
540,positif,"ga ada yg di buat"" dari gestur pak @prabowo  & bang @sandiuno ,semua alami. no pencitraan no nyontek""an. itu menandakan pa PS menghargai rakyat yg mengamanahkan kepercayaan kpd mrk & Sandi mengajak org"" yg blm mempunyai pilihan supaya tdk ragu utk mencoblos no.02"
541,negatif,gaji bakal seluruhnya disumbang kerakyat wkwk jaman purba
542,positif,Pembahasan perekonomian yg digagas Prabowo sandi menurunkan tarif2 harga yg kian meroket menjadi stabil... Itu yg aku tunggu..
543,positif,"Itu bisnis hardware, bukan esport. Kalau kita pengekspor hardware seperti itu gw dukung, tapi ini kita sebagai user, pengaruh kepada ke ekonomian kita nggak ada seujung jari."
544,netral,"Tak Ambil Gaji Jika Menang Pilpres, Prabowo-Sandi Ikuti Sederet Presiden Terkenal #Prabowo  http://www.rmoljakarta.com/read/2019/04/14/56505/Tak-Ambil-Gaji-Jika-Menang-Pilpres,-Prabowo-Sandi-Ikuti-Sederet-Presiden-Terkenal-Â â€¦"
545,negatif,Emg bisa ya saksi menghalangi??? Dia bukannya cmn ngejelasin aja? Yg menentukan boleh tidaknya kan panitianya? Gmn shi? Apa kami pikir itu panitianya digaji @prabowo ya bukan digaji @jokowi ? ðŸ¤¦ðŸ»â€â™‚ï¸ðŸ˜…ðŸ¤£ðŸ¤£ðŸ¤£
546,netral,Kan Pak bowo sdh ungkap semlm waktu debat.ini salah kelola perekonomian presiden2 sebelumnya.bukan salah Pak Jokowi kata Pak Bowo.
547,netral,"Arah Perekonomian Indonesia Salah, Kata Prabowo - Warta Ekonomi  https://www.wartaekonomi.co.id/read223690/arah-perekonomian-indonesia-salah-kata-prabowo.htmlÂ â€¦"
548,positif,"Ternyata ga cuma aku ya yg terheran2. Coba lihat video closing statement Tusuk Prabowo Sandi masa ngomongnya enak bener ""kalau pgn harga sembako murah tusuk P-S, kalau tdk pgn impor2 tusuk P-S"" kayanya sorga bgt dah haha takut aja ntar kaya di Venezuela"
549,negatif,"Mereka bhkan kalah dari cina soal ekonomi,sama dgan korut soal persenjataan,,arttinya lae ku,sehebat apa pun pemimpin negara kita ini,orang miskin tidak akan bisa di hilangkan.."
550,negatif,"Ketika Prabowo bilang agar contoh Cina. Sepertinya ingin buruhnya kerja 12 jam sehari, libur cuma hari minggu. Trus gaji buruhnya ga dibayar. Seperti nasib 1.400 buruhnya yg gajinya terkatung-katung bertahun-tahun.  https://finance.detik.com/berita-ekonomi-bisnis/d-4510088/selain-kerja-12-jamhari-karyawan-jack-ma-cuma-libur-1-harimingguÂ â€¦"
551,negatif,Debat terdahulu jebakannya unicorn sekarang mau jebak Prabowo dgn Mobile Legend..Please apa gak ada lg pertanyaan seputar ekonomi kerakyatan..Hobi banget nih orang main jebak jebakan..Jadi gak respect gw #UASdifitnahKejiDanBrutal
552,positif,Pasti...TPS (tusuk Prabowo sandi ) NKRI harga mati...!!!
553,positif,"SUDAH WAKTUNYA GANTI PEMIMPIN, KARENA KAMI BUTUH PERUBAHAN , 5 TAHUN PAK JOKOWI MEMANG MEMBANGUN , TETAPI SDM MALAH MENURUN DAN KURANG DALAM EKONOMI PENDAPATAN PERKAVITA RAKYAT JELATA , WAKTUNYA GANTI PEMIMPIN , WAKTUNYA PERUBAHAN.  pic.twitter.com/SqZayZnPuO"
554,positif,Alhamdulillah bang sandi. Semoga bisa memimpin negeri ini bersama pak Prabowo. Kami dukung kebijakan pak Prabowo bersama bang Sandi dalam memperbaiki ekonomi yg terpuruk dalam 4 tahun terakhir.  Salam dari kami Agung S AnfaunnaS (Surabaya)
555,positif,Jokowi dan sepakbola indonesia satu tujuan.  Indonesia dihargai negara lain
556,positif,Semoga Pak Prabowo jadi Presiden.. agar ekonomi bisa maju dan Dunia Perawat menjadi lebih baik
557,netral,"Pernyataan Prabowo Subianto dalam debat capres tadi malam, yang menyebutkan penanganan ekonomi adalah kesalahan presiden sebelumnya, dijadikan bumerang oleh TKN Jokowi-Ma'ruf.  http://news.rakyatku.com/read/147459/2019/04/14/erick-thohir-ungkit-pernyataan-prabowo-andi-arief-sby-tak-marah-kok-pak-erick-Â â€¦"
558,negatif,"Bagi Jokowi, rakyat indonesia sudah makmur, ekonomi naik 5% itu suatu prestasi luar biasa alias meroket Tapi yg bikin saya bingung kenapa mesti keluar kartu kartu lagi ðŸ˜‚ðŸ˜‚ðŸ˜‚"
559,netral,Gaji ditransfer aja. Hemat ongkos. ðŸ˜
560,positif,Bahas harga pisang yang naik turun
561,negatif,"Tidak dapat membedakan mana uang rakyat untuk gaji yang dimakan anak istrinya dengan syahwat seolah akan berkuasa selamanya, ingat : ITUPUN KAN BERLALU"
562,negatif,"Terus pencabutan subsidi tu kmana larinya ??? pembangunan infrastruktur kan hasil ngutang,ekonomi yg ktanya meroket nyatanya macet,yg jelas dipake korupsi partai pendukung khususnya PDIP,salut buat loe yg g perlu subsidi,tapi apakah rakyat Indonesia setara sama loe ekonominya ???"
563,positif,"JOKOWI TETAP SEDERHANA DI MATA SAYA  Di mata saya...  Meskipun sepatu Jokowi Harganya 100 juta... Dimata saya , Jokowi tetap sederhana  Mau pake Baju Hugo Boss pun... ,di mata saya Jokowi tetap terlihat...  https://www.facebook.com/100001227365004/posts/2315478811836342/Â â€¦"
564,positif,Ternyata Jokowi lebih mengerti tetangga ekonomi negara dari pada uno
565,netral,Meneropong Kondisi Makro Ekonomi Indonesia di Era Jokowi  https://m.liputan6.com/bisnis/read/3940859/meneropong-kondisi-makro-ekonomi-indonesia-di-era-jokowiÂ â€¦
566,negatif,Baik kan tim nya pak Jokowi?..dikasih duit (katanya)..karena kami paham betapa gembel nya hidupnya kampret..makanya rela harga diri ditukar sama uang yg buat beli bensin mobil aja kagak cukup ðŸ¤­ðŸ¤­
567,negatif,"Bukan hanya kurang milenial, tapi memang dia sama sekali ga paham potensi bisnis di dunia digitalisasi. Apalagi jika itu tentang ekonomi kreatif dan era industri 4.0 apa yang dia tahu? Nothing! Sementara, saat ini pemerintahan jokowi sudah menyiapkan infrastruktur ke arah sana."
568,negatif,bisa aja sih ngikutin mereka.. tp mereka kan komunis.. mau sistem ekonomi kita komunis??
569,negatif,"Si Jae dengan PD-nya ngajarin Prabowo-Sandi tentang Ekonomi Makro, bukan kelihatan pintar tapi kelihatan plonga-plongonya. Si Jae-Si Jae laut kok digarami.  Tuman. #TusukPrabowoSandi"
570,netral,Pernyataan Prabowo Buat Demokrat Marah - Warta Ekonomi  https://www.wartaekonomi.co.id/read223689/pernyataan-prabowo-buat-demokrat-marah.htmlÂ â€¦
571,netral,REFOLUSI MENTAL TUH APAAAA. TOLONG JELASINNNNNNN DONG YANG SEKOLAH SAMA PENGHASILANNYA TINGGI
572,positif,"Loh itu gusdur yah.. saya dukung prabowo karna fatwah gusdur kalau pak @prabowo presiden yg paking ikhlas. Insya Allah tahun ini. Terbikti meski beliau pernah kalah berkali"" beliau tetap ikhlas melanjutkn perjuangan,tdi mlm sya dengar dari @sandiuno tdk akan terima gaji.."
573,positif,@prabowo dan @sandiuno kalau diberi mandat rakyat gak akan ambil gaji. Gak di jiplak lagi tah @Dennysiregar7 ðŸ˜‚ðŸ˜‚
574,positif,"Sepakat,  kubu 02 selalu mengalihkan pertanyaan dgn jawaban menyerang pribadi dan masa kepemimpinan jokowi,  mngkin selama ini mereka lupa infra,ekonomi yg meerrka nikmati saat ini ad hasil kerja jokowi dan mentri2nya.. Indonesia timur masi menginginkan jokowi...."
575,negatif,Akui saja perekonomian Indonesia sudah salah arah...toh pak prabowo tdk menyalahkan tapi malah menawarkan solusi utk kembali pada UUD 1945 psl 33. Jangan sok simpati hanya utk mengadu domba. rakyat butuh solusi bukan pencitraan.
576,positif,"Selama ini presiden Jokowi kunker keliling Indonesia bagi2 buku, sembako, sepeda dll itu menggunakan dana taktis presiden senilai 2M, jadi presiden tanpa gembar gembor menyumbangkan gaji udah menyumbang lebih dari nilai gaji yg hanya sekitar 60jt"
577,negatif,"Koalisi sendiri diserang...hhh anehhh,,,, Dan juga nggak ambil gaji,, sementara dia pengusaha ,yg ada di otak kata untung"
578,positif,jika 17 April Kita Mencoblos @prabowo @sandiuno itu Berarti Kita Telah Beramal Selama 5 Tahun Karena Gaji @prabowo @sandiuno Akan Disumbangkan Kepada Dhuafa dan Yatim .. Inshaa Allah   #UASdifitnahKejiDanBrutal
579,positif,Presiden Prabowo dan wakil presiden sandiaga uno mengiklash gajinya untuk negara dan rakyat itulah best of the best.
580,positif,kami rakyat kecil menitipkan harapan pada bpk prabowo sandiaga..perubahan ekonomi.keadilan hukum.polihkan kembali kerukunan ber bangsa. bernegara.bertetangga antar suku.dan antar agama.itu saja.
581,negatif,krna jokowi presiden skrg ðŸ˜‚ Apapun kerusuhan di negara ini dia yg harus bertanggungjawab. Dia presiden yg dipilih rakyat dgn anggaran pemilu puluhan triliyun. Dia digaji rakyat utk menyelesaikan apapun problem yg menyangkut rakyat #UASdifitnahKejiDanBrutal  shame on you @jokowi
582,positif,"6. Benar kata Prabowo, ekonomi Indonesia salah arah. Ekonomi makro salah arah berdampak pd ekonomi mikro. Yg merasakan dampak emak2 dn masyarakat kls menengah kebawah. Cara pandang yg luar biasa tentang Indonesia, didukung pikiran-pikiran besar dan argumentasi yang kuat..."
583,netral,"Bila Menang Pilpres 2019, Prabowo Subianto dan Sandi Uno Janji Tidak Ambil Gaji  https://goo.gl/fb/QyojaFÂ  #berita #breaking #peristiwa"
584,netral,"Prabowo Nilai Ekonomi RI Salah Arah, Karena para Presiden Sebelum Jokowi  https://goo.gl/fb/Cu5XJ7Â  #berita #breaking #peristiwa"
585,netral,"Unk saat ini aku memang makan gaji lae,,tapi tidak pernah tersirat dalam benak ku akan makan gaji selamanya...aku harus bisa menjadi bos sekaligus pekerja nantinya,dan menggaji orang,bukan lagi di gaji.."
586,netral,"Bila Terpilih, Prabowo-Sandi akan Berikan Seluruh Gajinya untuk Fakir Miskin  http://dlvr.it/R2lklyÂ "
587,negatif,"Tetanggakuh : Janji Prabowo kalau jadi presiden akan menurunkan harga pangan. Aku petani, nanti klo harga2 hasil panen murah aku rugi. Jelaslah..mending milih jokowi.   Aku: ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ (tetanggaku aja yg gk lulus smp mikirnya lumayan)"
588,negatif,"Itu pasti salah Jokowi, kenapa gak bisa menurunkan atau paling gak menstabilkan harga toge ... Kalo masih blm bisa juga, ya se-nggak nya bikin kebijakan penjual toge di Eslen yg ngomel pas dikomplen harga mahal kena sanksi pidana."
589,positif,Prabowo - Sandi menyatakan komitmen tuk tidak mengambil GAJI sebagai kepala negara jika nantinya terpilih dalam Pilpres 2019.  #Pemilu2019 #PrabowoSandi #gajisandiuntukfakirmiskin
590,positif,Ngakak guling guling liat jokowi ngajarin ekonomi makro dan mikro sama bang@sandiaga uno  https://twitter.com/fadlizon/status/1117302566759493632Â â€¦
591,negatif,"@prabowo bilang 2030 Indonesia akan bubar.  Pertumbuhan ekonomi 5%, 5% ndasmu.... bagaimana pak tanggapannya?  @TheArieAir @Theopieter @fadjroeL #PrabowoSalahkanSBY #bukansalahbapak #TerimaKasihIstriku"
592,negatif,Bagaimana mau lebih baik kalo hidup makin susah dijaman bapak.. Harga2 nail listrik baik  bbm naik
593,netral,"Prabowo-Sandi Tolak Terima Gaji Jika Terpilih, Berapa Sih Besaran Gajinya?  http://akurat.co/ekonomi/id-590770-read-prabowosandi-tolak-terima-gaji-jika-terpilih-berapa-sih-besaran-gajinyaÂ â€¦"
594,positif,"Alhamdulillah, ekonomi kita maju Bersama Jokowi. #kuwera #TerimaKasihIstriku pic.twitter.com/39fLKLxXuV"
595,netral,AHY Geram ke Prabowo Gara-gara Ini - Warta Ekonomi  https://www.wartaekonomi.co.id/read223688/ahy-geram-ke-prabowo-gara-gara-ini.htmlÂ â€¦
596,negatif,"Berita yang menyalahkan SBY sebagai salah satu pembuat kesalahan dalam perekonomian Indonesia, Mungkin sebaiknya hal tersebut tidak disebut Prabowo ke muka publik. Suatu kesalahan yang terlihat konyol.  http://cnn.id/386111Â "
597,negatif,Kata Wowo kesalahan arah ekonomi yg mengakibatkan terjadinya deindustrialisasi adalah salah semua pihak. Termasuk pada presiden Indonesia sebelum era Jokowi. #PrabowoSalahkanSBY
598,positif,"Allah SWT sdh begitu baik kpd kami. Kami juga berterima kasih pd Indonesia, yg luar biasa kpd kami. Kami berkomitmen tdk ambil gaji serupiah pun jika kami dpt amanah, tegas Sandiaga.  ""Kita mau buktikan kita tulus kpd negara dan bangsa,"" tambah Prabowo.   https://www.gelora.co/2019/04/janji-tak-ambil-gaji-jika-terpilih.html?m=1Â â€¦"
599,positif,"Lah, ekonomi Indonesia masa Pak Jokowi baik-baik aja tuh. Malah ngehoaks dengan menyalahkan Presiden terdahulu. #PrabowoSalahkanSBY"
600,positif,"Disini pak jokowi ingin mendorong ekonomi kreatif yg mungkin akan berlangsung untuk jangka panjang nyatanya memperbaiki ekonomi tidak segampang itu, mungkin seperti itu sih penalaran  saya dari hal tersebut."
601,positif,"Nah kan itu akan mendorong ekonomi kreatif digital masyarakat yang mana memang sedang booming. Ga mungkin lah pak jokowi ngomong gitu gada maksud yg jelas, pemikiran dan sudut pandang kubu sebelah aja yg mohon maaf kurang kebuka dengan hal itu."
602,positif,Dengan memilih dan coblos NO 2 @Prabowo @sandiuno Maka anda sama dengan Infaq 5th  Karna gajinya prabowosandi di infaqkan kepada kaum dhuafa dan anak yatim di in ah indonesia #JatimMantapPilihPrabowo #JatimMantapPilihPrabowo pic.twitter.com/zPNo3e1eO2
603,positif,"Saya memang seorang pekerja dan makan gaji,,tapi tidak semua orang seperti saya,,banyak anak2 muda yg sekarang punya talenta dan bakat dalam dunia game,dan itu harus kita apresiasi dan kita dukung,itu maksd dari pernyataan jkw.."
604,positif,Dengan memilih Prabowo Sandi anda telah bersodaqoh selama 5 tahun. Karena gaji Prabowo dan sandi akan disedekahkan ke fakir miskin..mantapkan! Sebarkan!!  @JackVardan #UASdifitnahKejiDanBrutal
605,negatif,Kampret mah ga perlu digaji...
606,negatif,"Berharap tiap bulan bulan ada pemilu,terus Jokowi nyalon terus. Lumayan kan bawa 200-300 orang dapetnya 2x gaji UMR Jakarta wkwk #UASdifitnahKejiDanBrutal #bukansalahbapak"
607,negatif,"Kalo jalan bagus kmna mana kan gampang, ekonomi juga smakin membaik kan , #mikir bilang infrastuktur gak ada guna nya giliran jalanan pada jelek aja komen ðŸ¤£"
608,netral,Fadli Zon: Prabowo Hanya Ingatkan Ekonomi Indonesia Harus Berpijak ke Pasal 33 UUD 45 #indonesia #merahputih #sunday #minggusyantai https://merahputih.com/post/read/fadli-zon-prabowo-hanya-ingatkan-ekonomi-indonesia-harus-berpijak-ke-pasal-33-uud-45Â â€¦
609,positif,"Komentarnya bagus. Tapi alangkah indshnya jika ibu bilang, Jokowi lawan sang penantang. Gosipan warung juga aspirasi masyarakat, indahnya saling menghargai #nasehatbukanpakar https://twitter.com/GoDisko/status/1117106344991936512Â â€¦"
610,positif,"Hargai perbedaan, seluruh rakyat bersatu dalam kebersamaan yang must dibawah kepemimpinan Bapak Jokowi Aaamiin.  https://twitter.com/jokowi/status/1117239664727875584Â â€¦"
611,negatif,"Beda Dengan Sebelah! PRABOWO SANDI Tidak Akan Ambil Gaji Jika Jadi PRESIDEN, Untuk Fakir Miskin Saja  http://dlvr.it/R2nNpHÂ "
612,negatif,wkwkwkk... uang gaji dari LN buat apa..?? sampai habis di Indonesia
613,positif,"preseden paling fenomenal Ahok: keras dan tajam ke keluarga miskin Jakarta.Mereka digusuri dicerabut sosial ekonomi dari tempat tinggalnya. Sementara sama pemodal macam podmoro, behave nya lembut penuh kasih sayang.Ujung2nya: si dirut pengembangnya masuk bui,ahok nya pun tumbang"
614,netral,"Pun dari hal yang diutarakan Jokowi kemaren, eSports sendiri memang belum berkontribusi untuk perekonomian Indonesia karena gamenya sendiri bukan produksi gamedev lokal. Tapi tingginya antusiasme menunjukkan potensi yang bisa dibina oleh pemerintah seperti olahraga lainnya."
615,netral,"sby di singapur yah, video yg nyebar itu video lawas Apapun itu tak masalah jika prabowo menyalahkan pemerintahan sebelumnya tapi akam coba perbaiki. Gaji akan disumbangkan meski tunjangan2 lebih besar no problem yg penting niat nya dl, sapa tahu tunjangannya jg disumbangkan.  https://twitter.com/Metro_TV/status/1117376960433233920Â â€¦"
616,netral,"@Jokowi dalam kampanye akbar di GBK bahwa Pancasila, NKRI, Bhinneka Tunggal Ika dan UUD 1945 sudah final dan harga mati sehingg tidak bisa diganggu gugat. #PancasilaHargaMati #LestarikanPancasila pic.twitter.com/CQRL3ccYI9"
617,positif,Saya kadang pengin nyumbang kaum dhuafa tp anggaran tiap bln sllu mepet. Jadi saya pilih Prabowo Sandi yang akan mensedekahkan gajinya utk kaum dhuafa  #PrabowoSandiMenangDebat
618,positif,Dgn segala hormat saya SGT menghargai dan mengapresiasi pilihan mas Ulil ...  Semoga dg berlabuhnya mas Ulil Abshar Abdalla ke kubu Pak Jokowi  - Amin ...Insa Allah akan menarik gerbong Milenial yg masih ragu dan bimbang dlm menentukan pilihan mereka  ....Amin  ðŸ‘ðŸ‘ðŸ‘â­â­â­
619,negatif,Waktu tax amnesty kemarin prabowo sama sandiaga uno ini bayar pajak gak ya? Kok namanya masih ada di paradise papers ðŸ™„  pic.twitter.com/ETXPzHYiaB
620,positif,Prabowo-Sandi Tak Akan Ambil Gaji Sepeser Pun Jika Terpilih  Dua orang yang sudah usai dengan dunianya... Tinggal fokus pada panggilan Ibu Pertiwi sbg sikap patriotik dan nasionalis.  Keren... Inilah salah satu alasan gw #GuePilihPrabowoSandi #UASdifitnahKejiDanBrutal
621,positif,"Ga perlu malu akui kegagalan jika mmg janji-janji tak mampu direalisasi, ingat rakyat memilih krn janji, stop impor, tak cabut subsidi, buka lapangan kerja, ekonomi 7 persen, mobil esemka, dll.. tp hasilnya?? NOL.. wajar jika rakyat ingin pemimpin baru. #2019GantiPresiden"
622,netral,Erwin Aksa Harap Prabowo Punya Solusi untuk Perekonomian  https://bisnis.tempo.co/read/1195634/erwin-aksa-harap-prabowo-punya-solusi-untuk-perekonomian?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvritÂ â€¦
